,matricula,11111111
0,nombre,Alumno 1
1,grupo,TI11
2,Materia 1,1
3,Materia 2,8
4,Materia 3,1
5,Materia 4,7
6,Materia 5,2
8,estado,regular
9,matricula,11111112
10,nombre,Alumno 2
11,grupo,TI11
12,Materia 1,10
13,Materia 2,7
14,Materia 3,1
15,Materia 4,8
16,Materia 5,5
17,estado,regular
18,matricula,11111113
19,nombre,Alumno 3
20,grupo,TI11
21,Materia 1,
22,Materia 2,1
23,Materia 3,1
24,Materia 4,3
25,Materia 5,0
26,estado,regular
27,matricula,11111114
28,nombre,Alumno 4
29,grupo,TI11
30,Materia 1,
31,Materia 2,4
32,Materia 3,3
33,Materia 4,2
34,Materia 5,7
35,estado,regular
36,matricula,11111115
37,nombre,Alumno 5
38,grupo,TI11
39,Materia 1,9
40,Materia 2,10
41,Materia 3,3
42,Materia 4,9
43,Materia 5,2
44,estado,regular
45,matricula,11111116
46,nombre,Alumno 6
47,grupo,TI11
48,Materia 1,1
49,Materia 2,3
50,Materia 3,8
51,Materia 4,1
52,Materia 5,7
53,estado,regular
54,matricula,11111117
55,nombre,Alumno 7
56,grupo,TI11
57,Materia 1,4
58,Materia 2,7
59,Materia 3,1
60,Materia 4,6
61,Materia 5,5
62,estado,regular
63,matricula,11111118
64,nombre,Alumno 8
65,grupo,TI11
66,Materia 1,10
67,Materia 2,1
68,Materia 3,7
69,Materia 4,10
70,Materia 5,0
71,estado,regular
72,matricula,11111119
73,nombre,Alumno 9
74,grupo,TI11
75,Materia 1,5
76,Materia 2,5
77,Materia 3,4
78,Materia 4,0
79,Materia 5,3
80,estado,regular
81,matricula,11111120
82,nombre,Alumno 10
83,grupo,TI11
84,Materia 1,5
85,Materia 2,7
86,Materia 3,3
87,Materia 4,3
88,Materia 5,4
89,estado,regular
90,matricula,11111121
91,nombre,Alumno 11
92,grupo,TI11
93,Materia 1,6
94,Materia 2,1
95,Materia 3,3
96,Materia 4,7
97,Materia 5,0
98,estado,regular
99,matricula,11111122
100,nombre,Alumno 12
101,grupo,TI11
102,Materia 1,7
103,Materia 2,2
104,Materia 3,5
105,Materia 4,4
106,Materia 5,5
107,Materia 4,4
108,Materia 5,5
109,estado,regular
110,matricula,11111123
111,nombre,Alumno 13
112,grupo,TI12
113,Materia 1,5
114,Materia 2,2
115,Materia 3,3
116,Materia 4,0
117,Materia 5,1
118,estado,regular
119,matricula,11111124
120,nombre,Alumno 14
121,grupo,TI12
122,Materia 1,5
123,Materia 2,2
124,Materia 3,10
125,Materia 4,0
126,Materia 5,6
127,estado,regular
128,matricula,11111125
129,nombre,Alumno 15
130,grupo,TI12
131,Materia 1,9
132,Materia 2,9
133,Materia 3,1
134,Materia 4,3
135,Materia 5,1
136,estado,regular
137,matricula,11111126
138,nombre,Alumno 16
139,grupo,TI12
140,Materia 1,1
141,Materia 2,2
142,Materia 3,1
143,Materia 4,7
144,Materia 5,7
145,estado,regular
146,matricula,11111127
147,nombre,Alumno 17
148,grupo,TI12
149,Materia 1,0
150,Materia 2,2
151,Materia 3,1
152,Materia 4,0
153,Materia 5,2
154,estado,regular
155,matricula,11111128
156,nombre,Alumno 18
157,grupo,TI12
158,Materia 1,0
159,Materia 2,1
