,matricula,11111111
0,nombre,Alumno 1
1,grupo,TI11
2,Materia 1,1
3,Materia 2,8
4,Materia 3,1
5,Materia 4,7
6,Materia 5,2
7,estado,regular
8,matricula,11111112
9,nombre,Alumno 2
10,grupo,TI11
11,Materia 1,10
12,Materia 2,7
13,Materia 3,1
14,Materia 4,8
15,Materia 5,5
16,estado,regular
17,matricula,11111113
18,nombre,Alumno 3
19,grupo,TI11
20,Materia 1,0
21,Materia 2,1
22,Materia 3,1
23,Materia 4,3
24,Materia 5,0
25,estado,regular
26,matricula,11111114
27,nombre,Alumno 4
28,grupo,TI11
29,Materia 1,0
30,Materia 2,4
31,Materia 3,3
32,Materia 4,2
33,Materia 5,7
34,estado,regular
35,matricula,11111115
36,nombre,Alumno 5
37,grupo,TI11
38,Materia 1,9
39,Materia 2,10
40,Materia 3,3
41,Materia 4,9
42,Materia 5,2
43,estado,regular
44,matricula,11111116
45,nombre,Alumno 6
46,grupo,TI11
47,Materia 1,1
48,Materia 2,3
49,Materia 3,8
50,Materia 4,1
51,Materia 5,7
52,estado,regular
53,matricula,11111117
54,nombre,Alumno 7
55,grupo,TI11
56,Materia 1,4
57,Materia 2,7
58,Materia 3,1
59,Materia 4,6
60,Materia 5,5
61,estado,regular
62,matricula,11111118
63,nombre,Alumno 8
64,grupo,TI11
65,Materia 1,10
66,Materia 2,1
67,Materia 3,7
68,Materia 4,10
69,Materia 5,0
70,estado,regular
71,matricula,11111119
72,nombre,Alumno 9
73,grupo,TI11
74,Materia 1,5
75,Materia 2,5
76,Materia 3,4
77,Materia 4,0
78,Materia 5,3
79,estado,regular
80,matricula,11111120
81,nombre,Alumno 10
82,grupo,TI11
83,Materia 1,5
84,Materia 2,7
85,Materia 3,3
86,Materia 4,3
87,Materia 5,4
88,estado,regular
89,matricula,11111121
90,nombre,Alumno 11
91,grupo,TI11
92,Materia 1,6
93,Materia 2,1
94,Materia 3,3
95,Materia 4,7
96,Materia 5,0
97,estado,regular
98,matricula,11111122
99,nombre,Alumno 12
100,grupo,TI11
101,Materia 1,7
102,Materia 2,2
103,Materia 3,5
104,Materia 4,4
105,Materia 5,5
106,estado,regular
107,matricula,11111123
108,nombre,Alumno 13
109,grupo,TI12
110,Materia 1,5
111,Materia 2,2
112,Materia 3,3
113,Materia 4,0
114,Materia 5,1
115,estado,regular
116,matricula,11111124
117,nombre,Alumno 14
118,grupo,TI12
119,Materia 1,5
120,Materia 2,2
121,Materia 3,10
122,Materia 4,0
123,Materia 5,6
124,estado,regular
125,matricula,11111125
126,nombre,Alumno 15
127,grupo,TI12
128,Materia 1,9
129,Materia 2,9
130,Materia 3,1
131,Materia 4,3
132,Materia 5,1
133,estado,regular
134,matricula,11111126
135,nombre,Alumno 16
136,grupo,TI12
137,Materia 1,1
138,Materia 2,2
139,Materia 3,1
140,Materia 4,7
141,Materia 5,7
142,estado,regular
143,matricula,11111127
144,nombre,Alumno 17
145,grupo,TI12
146,Materia 1,0
147,Materia 2,2
148,Materia 3,1
149,Materia 4,0
150,Materia 5,2
151,estado,regular
152,matricula,11111128
153,nombre,Alumno 18
154,grupo,TI12
155,Materia 1,0
156,Materia 2,1
157,Materia 3,4
158,Materia 4,7
